Sort,Common Name,Scientific Name,Group,order,family,taxonomic notes,Canada,USA,Mexico,C America,Mig Status,Introduced,Nonbreeding only,PS-g,PS-g_s,PS-g_com,Global Pop Size, Global Pop Size# , Pop Size_US-Ca , Pop Size_US-Ca# ,PopYr,Pop Size_US-Ca_s,Pop Size_US-Ca_com,BD-g, BD area ,BD-g_s,BD-g_com,ND-g, ND area ,ND-g_s,ND-g_com,TB-c,TB-c_s,TB-c_com,CV-b,CV-b certainty,TN-c,TN-c_s,TN-c_com,CV-w,CV-w certainty,PT-c,PT-c_s,PT-c_com,LT % change,LT trend (%/yr),LT trend 90% lcl,LT trend 90% ucl,LT sig,ST % change,ST trend (%/yr),ST trend 90% lcl,ST trend 90% ucl,ST sig,ST yrs,core/extended BBS,LT CI width,N,RA,NxRA,Half-Life,CCS-b,CCS-n,CCS-max,Continental Importance,IUCN Red List 2023,Urban,Agriculture,Breeding Biome,Nonbreeding Biome,Primary Breeding Habitat,Secondary Breeding Habitat,Primary Nonbreeding Habitat,Secondary Nonbreeding Habitat
606,Great Black-backed Gull,Larus marinus,waterbird,Charadriiformes,Laridae,Monotypic.,1,1,1,1,R,,,4,"PIFcalc19-bbs0615(BBS), eBird7017(WHem), PIF(Glob)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"370,000","370,000","150,000","150,000",2010.5,PIFcalc19-bbs0615,,3,"951,238","Natureserve, with Old World extrapolation",,2,"2,518,348","Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,Hunter-Rosenberg 2003; PIFSC-CVS 2022,,3,M-H,2,Hunter-Rosenberg 2003; PIFSC-CVS 2022,,2,M-H,5,"BBS7021-AS,JS",,-72.56,-2.5,-3.94,-0.95,1,-78.71,-3.99,-5.92,-2.15,1,38,core,2.99,189.5,3.83,725.33,17,15,13,15,Orange Watch List; Tipping Point,,,,Northern Forest,Eastern Temperate,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers,Coasts:  Beach and Estuary,Coasts:  Marine Waters
608,Brown Noddy,Anous stolidus,waterbird,Charadriiformes,Laridae,,0,1,1,1,M,,,3,BNA Chardine & Morris 1996,"missing data for ssp. galapagensis.  2001 best guess for ssp. stolidus & ssp. plumbeigularis, 2001-2008 best guess for ssp. pileatus, 2005 for ssp. ridgwayi.  1,175,100-2,075,250 total individuals or 783,400-1,383,500 (WPE5).  Adult estimate assumes 2/3 of total pop. are adults.","1,600,000","1,600,000",,,,,,1,"10,000,000",BirdLife 2015,"extent of occurance, as listed on http://www.avibirds.com/html/Brown_Noddy.html, citing BirdLife.  Range area listed on BirdLife page in Nov. 2015 is 26,800 km2, which presumably represents land area of breeding islands only",1,,NatureServe,"Natureserve data for W. Hemisphere supports score of 1, regardless of additional potential range in Old World",3,Waterbird Working Group 2017,,,,2,Waterbird Working Group 2017,,,,3,Kushlan et al. 2002,unknown,,,,,,,,,,,,,,,,,,10,9,10,,,,,Pantropical,Pantropical,Islands:  Oceanic,,Oceans:  Pelagic,
609,Black Noddy,Anous minutus,waterbird,Charadriiformes,Laridae,,0,0,1,1,M,,,3,BNA Gauger 1999,,"1,300,000","1,300,000",,,,,,1,,Panjabi 2017,"worldwide distribution in tropical and subtropical seas, with colonies widespread in the western and central Pacific Ocean and more scattered across the Caribbean, central Atlantic and in the northeast Indian Ocean (BirdLife 2017).",2,,BirdLife 2017; Panjabi-17,,3,Waterbird Working Group 2017,,,,2,Waterbird Working Group 2017,,,,3,PIF CAW 2014,,,,,,,,,,,,,,,,,,,10,10,10,,,,,Pantropical,Pantropical,Islands:  Oceanic,,Oceans:  Pelagic,
612,Sooty Tern,Onychoprion fuscatus,waterbird,Charadriiformes,Laridae,,0,1,1,1,M,,,2,BNA Schreiber et al. 2002,estimate assumes 2/3 of total pop. are adults.,"47,000,000","47,000,000",,,,,,1,,Panjabi 2017,breeds on tropical islands and ranges through most of the tropical oceans (BirdLife 2017).,1,,NatureServe,"Natureserve data for W. Hemisphere supports score of 1, regardless of additional potential range in Old World",3,Waterbird Working Group 2017,,,,2,Waterbird Working Group 2017,,,,3,Kushlan et al. 2002,unknown,,,,,,,,,,,,,,,,,,9,8,9,,,,,Pantropical,Pantropical,Coasts:  Beach and Estuary,Islands:  Oceanic,Oceans:  Pelagic,
614,Bridled Tern,Onychoprion anaethetus,waterbird,Charadriiformes,Laridae,,0,1,1,1,M,,,3,"WPE5, BirdLife 2015","missing data for ssp. rogersi & ssp. novaehollandiae.  2001 best guess for ssp. melanopteris, 2000-2010 expert opinion for ssp. antarctica, 2005 best guess for ssp. fuligula, 1994-2011 best guess for ssp. anaethetus, 2005 for ssp. nelsoni.  882,670-2,092,800 total individuals or 588,447-1,395,200 adults (WPE5).  Adult estimate assumes 2/3 of total pop. are adults.",">700,000","700,000",,,,,,1,,Panjabi 2017,"A bird of the tropical oceans. It breeds off the Pacific and Atlantic coast of Central America including the Caribbean, off small areas of western Africa, around Arab (BirdLife 2017) ia and eastern Africa down to South Africa, off the coast of India, and in much of south-east Asia and Australasia excluding southern Australia and New Zealand (BirdLife 2017).",1,,NatureServe,"Natureserve data for W. Hemisphere supports score of 1, regardless of additional potential range in Old World",3,Waterbird Working Group 2017,,,,2,Waterbird Working Group 2017,,,,4,Kushlan et al. 2002,"past declines, has disappeared from some islands (CH); unknown (MX-NSAC)",,,,,,,,,,,,,,,,,,11,10,11,,,,,Pantropical,Pantropical,Islands:  Oceanic,,Oceans:  Pelagic,
615,Aleutian Tern,Onychoprion aleuticus,waterbird,Charadriiformes,Laridae,Monotypic.,0,1,0,0,M,,,5,"WPE5, BirdLife 2015","2005.  17,000-20,000 total individuals or 11,333-13,333 adults (WPE5).  Adult estimate assumes 2/3 of total pop. are adults.","22,000","22,000",,,,,,3,"708,097",Natureserve 3.0 with adjustment by PIFSC-16,extrapolated to include populations breeding along coast of eastern Russia around Kamchatka peninsula and Sakhalin Island,3,,Panjabi,"wintering area in SW Pacific around Indo-china, but not fully known; score of 3 reflects uncertainty",3,Waterbird Working Group 2017,Rat issues and disturbance due to people on ATVs has decimated some colonies; could possibly be 4 (Waterbird working group 2017).  Concern in AK due to declining colony counts and loss of colonies (Brad Andres),,,3,Waterbird Working Group 2017,"winters around Phillipines, could be bycatch issues; unsure",,,2,BBS9321-JS,,0,0,-1.61,4.4,,0,0,-1.4,5.06,,27,extended,6.01,6,13.48,80.88,,13,13,13,Previously Watch List,VU,,,Arctic,Eastern Indo-Pacific,Coasts:  Beach and Estuary,Wetlands:  Freshwater Marsh,Coasts:  Beach and Estuary,Coasts:  Marine Waters
617,Least Tern,Sternula antillarum,waterbird,Charadriiformes,Laridae,,0,1,1,1,M,,,4,"PIFcalc19-eBird7017(UsCa,WHem)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"120,000","120,000","52,000","52,000",2010.5,PIFcalc19-eBird7017,,2,"1,341,037",Natureserve,,2,"2,169,507",Natureserve,,4,Waterbird Working Group 2017; PIFSC-CVS 2022,,4,H,3,Waterbird Working Group 2017,"concentrated off coast of south america in winter where they are harvested for food, sold in markets like some shorebirds and roseate terns",,,5,"BBS7021-AS,JS",,-80.26,-3.13,-5.13,-1.41,1,-58.48,-3.46,-6.55,-0.19,1,25,core,3.72,136,1.68,228.41,20,15,14,15,Orange Watch List; Tipping Point,,yes,,Nearctic,Neotropical,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers,Coasts:  Beach and Estuary,
620,Gull-billed Tern,Gelochelidon nilotica,waterbird,Charadriiformes,Laridae,,1,1,1,1,M,,,4,"WPE5, HBW (taxonomic reference)","missing data for ssp. affinis and groenvoldi/vanrossemi population in coastal Ecuador/Peru.  2001, expert opinion for W. Europe/W. Africa ssp. nilotica, 2000-2007 for ssp. aranea, 1990-2000, expert opinion for Black Sea/E. Mediterreanean/E. Africa ssp. nilotica, 1987-1991, best guess for W/Central/SW Asia ssp. nilotica and E/SE Asia addenda, 2011 best guess for ssp. groenvoldi, 2006-2007 for ssp. vanrossemi.  Adult estimate assumes 2/3 of total pop. are adults.",">190,000","190,000","8,000","8,000",2002,BNA Molina et al. 2014,,1,"5,154,972",Natureserve,,1,"6,879,182","Natureserve, with ocular estimate of range in W Hemishpere based on BirdLife map",,4,Waterbird Working Group 2017; PIFSC-CVS 2022,,1,H,2,Waterbird Working Group 2017; PIFSC-CVS 2022,,1,H,4,Waterbird Working Group 2017,"Panjabi-23: BBS would yield a score of 3 for US (long-term gain of 47%, 3 gen loss of 41%, neither statistically significant), but only covers a portion of the N. American range, likely not the largest pops, and does not sample coastal habitat very well.  CBC7019 (-1.167 long term annual trend, where 90% CI doesn't overlap 0) indicates a decline, however CBC only covers the relatively sparse winter population in the US, not most of the birds that head further south.  So expert opinion superior than either dataset.  Shaw 2020: Mexican and Central American expert scores averaged to 3.",,,,,,,,,,,,,,,,,,13,11,13,,,,,Widespread,Neotropical,Coasts:  Beach and Estuary,Wetlands:  Freshwater Marsh,Coasts:  Beach and Estuary,Wetlands:  Freshwater Marsh
621,Caspian Tern,Hydroprogne caspia,waterbird,Charadriiformes,Laridae,Monotypic.,1,1,1,1,M,,,3,"PIFcalc19-eBird7017(UsCa,WHem), PIF(Glob)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"530,000","530,000","78,000","78,000",2010.5,PIFcalc19-eBird7017,,2,"2,403,120","Natureserve, with Old World extrapolation",,1,"7,664,735","Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,Waterbird Working Group 2017; PIFSC-CVS 2022,,1,M-H,2,Waterbird Working Group 2017; PIFSC-CVS 2022,,1,H,1,"BBS7021-AS,JS",,55.47,0.87,-0.15,2.55,,-10.3,-0.37,-2.83,1.6,,29,core,2.7,228,0.11,25.74,,9,7,9,,,,,Nearctic,Widespread,Wetlands:  Lakes and Rivers,,Coasts:  Beach and Estuary,
623,Black Tern,Chlidonias niger,waterbird,Charadriiformes,Laridae,,1,1,1,1,M,,,2,"PIFcalc19-bbs0615(BBS), eBird7017(WHem), PIF(Glob)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"5,100,000","5,100,000","2,300,000","2,300,000",2010.5,PIFcalc19-bbs0615,,1,"10,591,490","Natureserve, with Old World extrapolation",,2,"2,293,814","Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,4,PIFSC-19; PIFSC-CVS 2022,changed due to calibration with TB-r,2,M-H,2,Waterbird Working Group 2017,,,,5,"BBS7021-AS,JS",,-67.49,-2.18,-4.26,-0.56,1,-5.4,-0.32,-3.81,4.28,,17,core,3.7,557,3.63,2017.61,,12,11,12,Common Bird in Steep Decline,,,,Nearctic,Tropical Eastern Pacific,Wetlands:  Freshwater Marsh,,Oceans:  Pelagic,Coasts:  Marine Waters
626,Roseate Tern,Sterna dougallii,waterbird,Charadriiformes,Laridae,,1,1,1,1,M,,,4,BNA Nisbet et al. 2014,"202,352-216,380 total individuals or 134,901-144,253 adults (WPE5).  Adult estimate assumes 2/3 of total pop. are adults.","160,000","160,000",,,,,,3,"417,565","Natureserve, with Old World extrapolation",,1,"7,159,000","Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,4,Waterbird Working Group 2017,,,,3,Waterbird Working Group 2017,,,,4,Kushlan et al. 2002,"caribbean pops more stable, but northern pops declining",,,,,,,,,,,,,,,,,,15,12,15,Yellow Watch List,,,,Widespread,Widespread,Coasts:  Beach and Estuary,Coasts:  Marine Waters,Oceans:  Pelagic,Coasts:  Marine Waters
627,Common Tern,Sterna hirundo,waterbird,Charadriiformes,Laridae,,1,1,1,1,M,,,3,"PIFcalc19-bbs0615(BBS), eBird7017(WHem), PIF(Glob)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"2,800,000","2,800,000","470,000","470,000",2010.5,PIFcalc19-bbs0615,,1,"16,000,000",BirdLife 2015,,1,"23,728,090","Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,Waterbird Working Group 2017; PIFSC-CVS 2022,gulf and atlantic populations are more highly threatened (Waterbird working group 2017),3,M-L,2,Waterbird Working Group 2017,,,,3,"BBS7021-AS,JS",,-48.96,-1.31,-3.05,0.39,,-23.21,-0.85,-3.05,1.07,,31,core,3.44,302,0.64,194.86,,10,9,10,,,,,Nearctic,Neotropical,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers,Coasts:  Beach and Estuary,Coasts:  Marine Waters
628,Arctic Tern,Sterna paradisaea,waterbird,Charadriiformes,Laridae,Monotypic.,1,1,1,1,M,,,3,BNA Hatch 2002,,"3,000,000","3,000,000","1,500,000","1,500,000",2005,"BNA Hatch 2002, eBird7017(UsCa,WHem), PIF(Glob)","Shaw 2020: extrapolated from the BNA world estimate of 3,000,000 using the proportion in US/Canada estimated from the other sources listed",1,"12,686,524","Natureserve, with Old World extrapolation",,1,,NatureServe,"Natureserve data for W. Hemisphere supports score of 1, regardless of additional potential range in Old World",4,Waterbird Working Group 2017; PIFSC-CVS 2022,"uses wide variety of habitats, but climate change related threats exist (Waterbird working group 2017).  Rosenberg 2020: witnessed local people in Nome, AK going out and collecting eggs from the tern colonies and also trying to kill adults.",4,M-H,2,Waterbird Working Group 2017,,,,4,"BBS7021-AS, BBS9321-JS",,-42.1,-1.31,-4.39,1.05,,-30.18,-1.05,-3.43,1.32,,34,extended,5.44,97.5,4.87,474.83,,12,10,12,,,,,Arctic,Southern Ocean,Wetlands:  Tundra,Forests:  Boreal,Coasts:  Marine Waters,Oceans:  Pelagic
629,Forster's Tern,Sterna forsteri,waterbird,Charadriiformes,Laridae,Monotypic.,1,1,1,1,M,,,4,"PIFcalc19-bbs0615(BBS), eBird7017(WHem,Glob)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"150,000","150,000","130,000","130,000",2010.5,PIFcalc19-bbs0615,,2,"1,758,211",Natureserve,,2,"3,173,354",Natureserve,,3,Waterbird Working Group 2017; PIFSC-CVS 2022,,2,H,2,Waterbird Working Group 2017; PIFSC-CVS 2022,,2,M-H,4,"BBS7021-AS,JS",,-38.53,-0.95,-2.1,0.47,,-36.59,-1.96,-4.33,0.03,,23,core,2.57,297.5,0.27,80.95,,13,12,13,,,,,Great Plains,Nearctic,Wetlands:  Freshwater Marsh,,Coasts:  Beach and Estuary,Wetlands:  Freshwater Marsh
630,Royal Tern,Thalasseus maximus,waterbird,Charadriiformes,Laridae,,1,1,1,1,M,,,4,"PIFcalc19-eBird7017(UsCa,WHem,Glob); BirdLife 2021; Shaw-22","Shaw-22: took pop estimate extrapolated from PIFcalc19 using  eBrd17(UsCa,WHem,Glob) and multiplied it by the % of the BirdLife range shapefile for T. maximus s.l. (West African Crested Tern not yet split off by BirdLife) that falls within the Western Hemisphere","55,000","55,000","35,000","35,000",2010.5,PIFcalc19-eBird7017,Shaw-22: Old World split doesn't affect US-Ca pop estimate,2,"2,478,033",BirdLife 2021; Shaw-22,"Shaw-22: BirdLife had not split off West African Crested Tern, so I manually removed it from their shapefile for Thalasseus maximus s.l.",2,"3,776,517",BirdLife 2021; Shaw-22,"Shaw-22: BirdLife had not split off West African Crested Tern, so I manually removed it from their shapefile for Thalasseus maximus s.l.",3,Waterbird Working Group 2017; PIFSC-CVS 2022,threats not as high as for beach-nesting species (Waterbird working group 2017),2,M-H,2,Waterbird Working Group 2017; PIFSC-CVS 2022,,1,H,2,"BBS7021-AS,JS","Shaw-23: eBird S&T recent trends negative for most large populations, vs. small populations a mixed bag.  CBC shows significant LT increase.  CH: terns that are restricted to protected islands are doing better than terns and skimmers that nest more widespread (i.e. on beaches); disturbance from humans/predation.",8.53,0.16,-1.35,1.9,,1.16,0.04,-2.41,2.71,,32,core,3.25,58.5,1.37,81.02,,11,10,11,,,,,Widespread,Widespread,Coasts:  Beach and Estuary,Coasts:  Marine Waters,Coasts:  Beach and Estuary,Coasts:  Marine Waters
632,Sandwich Tern,Thalasseus sandvicensis,waterbird,Charadriiformes,Laridae,,1,1,1,1,M,,,3,"BNA2016, eBird7017(UsCa,WHem,Glob)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"1,000,000","1,000,000","94,000","94,000",1985,BNA Shealer et al. 2016,,2,"2,801,597",BirdLife 2021,,1,"7,531,456",BirdLife 2021,,3,Waterbird Working Group 2017; PIFSC-CVS 2022,threats not as high as for beach-nesting species (Waterbird working group 2017),2,M-H,2,Waterbird Working Group 2017; PIFSC-CVS 2022,,1,H,2,"Hunter, Andres 2017","CBC shows sharp increase in US with 1.376% annual trend, but not used since doesn't cover species' full breeding range.  Belize also increasing (PIF CAW 2015).  Mexican SE Caribbean Lowlands PT-r = 3 (Mexican Regional Assessment 2005).  BNA (2016) documents stability to increases for most populations, with range expansion up into mid-Atlantic coast.  Terns that are restricted to protected islands are doing better than terns and skimmers that nest more widespread (i.e. on beaches); disturbance from humans/predation (CH)",,,,,,,,,,,,,,,,,,10,8,10,,,,,Widespread,Widespread,Coasts:  Beach and Estuary,Coasts:  Marine Waters,Coasts:  Beach and Estuary,Coasts:  Marine Waters
633,Elegant Tern,Thalasseus elegans,waterbird,Charadriiformes,Laridae,Monotypic.,0,1,1,1,M,,,4,WPE5,2003-2005.  Adult estimate assumes 2/3 of total pop. are adults.,"180,000","180,000",,,,,,5,"50,024",Natureserve,,3,"861,309",Natureserve,,4,Waterbird Working Group 2017,,,,3,Waterbird Working Group 2017,,,,3,MX-NSAC,unknown,,,,,,,,,,,,,,,,,,16,13,16,Yellow Watch List,NT,,,Pacific North America,Pacific North America,Coasts:  Beach and Estuary,Coasts:  Marine Waters,Coasts:  Beach and Estuary,Coasts:  Marine Waters
634,Black Skimmer,Rynchops niger,waterbird,Charadriiformes,Laridae,,1,1,1,1,M,,,3,"BNA1994, eBird7017(UsCa,WHem)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"800,000","800,000","60,000","60,000",1976,BNA Gochfeld & Burger 1994,,1,"14,296,527",Natureserve,,1,"14,304,416",Natureserve,,4,Waterbird Working Group 2017; PIFSC-CVS 2022,,2,H,3,Waterbird Working Group 2017; PIFSC-CVS 2022,,1,H,4,"BBS7021-AS,JS","Shaw 2020: 3 is most common score, followed by 2, in Mexico and C. America, but Mexican scores are stale, and US has good portion of population and Waterbird Working Group probably considered tropical pops for score of 5, so went with BBS.  Waterbird Working Group 2017: local info (e.g. Texas) supports possible decline.",-66.19,-2.1,-4.97,0,,-16.48,-0.85,-3.78,1.95,,21,core,4.97,60.5,0.7,42.21,,12,11,12,Common Bird in Steep Decline; previously Watch List,,,,Widespread,Widespread,Coasts:  Beach and Estuary,Coasts:  Saltmarsh,Coasts:  Beach and Estuary,Coasts:  Saltmarsh
635,Sunbittern,Eurypyga helias,waterbird,Eurypygiformes,Eurypygidae,,0,0,0,1,R,,,3,PIF CAW 2016,,,,,,,,,1,"8,455,048",Natureserve,,1,"8,455,048",Natureserve,,4,MX-NSAC,,,,4,MX-NSAC,,,,4,MX-NSAC,probably has declined (MX-NSAC),,,,,,,,,,,,,,,,,,12,12,12,,,,,Neotropical,Neotropical,Wetlands:  Forested,Forests:  Tropical Lowland Evergreen,Wetlands:  Forested,Forests:  Tropical Lowland Evergreen
636,White-tailed Tropicbird,Phaethon lepturus,waterbird,Phaethontiformes,Phaethontidae,,0,0,1,1,M,,,4,"BNA, Lee & Walsh-McGee 1998","<200,000 pairs","<400,000","400,000",,,,,,3,,BirdLife 2017; Panjabi-17,,2,,BirdLife 2017; Panjabi-17,,4,PIF CAW 2014,,,,3,PIF CAW 2014,,,,4,PIF CAW 2014,,,,,,,,,,,,,,,,,,,15,13,15,Yellow Watch List,,,,Pantropical,Pantropical,Islands:  Oceanic,,Oceans:  Pelagic,
637,Red-billed Tropicbird,Phaethon aethereus,waterbird,Phaethontiformes,Phaethontidae,,0,0,1,1,M,,,5,BirdLife 2015,,"8,200","8,200",,,,,,5,"24,500",BirdLife 2015,"Breeding colonies are widely isolated. BirdLife range presumably represents area of islands and immediate waters, where most birds are found during breeding.",1,,NatureServe,"Natureserve data for W. Hemisphere supports score of 1, regardless of additional potential range in Old World",4,Hunter-Rosenberg 2003,,,,3,C. Hunter 2017,impacted by fisheries; entanglement in fishing nets; bycatch,,,3,Kushlan et al. 2002,,,,,,,,,,,,,,,,,,,17,12,17,Red Watch List; Tipping Point,,,,Pantropical,Pantropical,Islands:  Oceanic,,Oceans:  Pelagic,Coasts:  Marine Waters
638,Red-tailed Tropicbird,Phaethon rubricauda,waterbird,Phaethontiformes,Phaethontidae,,0,0,1,1,M,,,4,BNA Schreiber and Schreiber 2009,"30-40,000 pairs","70,000","70,000",,,,,,3,,BirdLife 2017; Panjabi-17,,3,,BirdLife 2017; Panjabi-17,,3,Hunter-Rosenberg 2003,,,,3,Hunter-Rosenberg 2003,,,,3,Kushlan et al. 2002,,,,,,,,,,,,,,,,,,,13,13,13,,,,,Eastern Indo-Pacific,Eastern Indo-Pacific,Islands:  Oceanic,,Oceans:  Pelagic,
639,Red-throated Loon,Gavia stellata,waterbird,Gaviiformes,Gaviidae,Monotypic.,1,1,1,0,M,,,3,"PIFcalc19-eBird7017(UsCa,WHem), PIF(Glob)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"1,400,000","1,400,000","360,000","360,000",2010.5,PIFcalc19-eBird7017,,1,"19,470,400","Natureserve, with Old World extrapolation",,2,"3,304,828","Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,PIFSC-19; PIFSC-CVS 2022,changed due to calibration with TB-r,3,H,3,Waterbird Working Group 2017; PIFSC-CVS 2022,"on atlantic coast, common in bycatch",2,M-H,1,CBC7019-JS,,139.23,1.8,1.34,2.21,1,79.67,2.97,1.81,4.17,1,25,,0.87,,,,,8,9,9,,,,,Arctic,Nearctic,Wetlands:  Tundra,Wetlands:  Boreal,Coasts:  Marine Waters,
640,Arctic Loon,Gavia arctica,waterbird,Gaviiformes,Gaviidae,,1,1,0,0,M,,,3,"WPE5, BirdLife 2015","ssp. suschkini missing data. 1990-2000 expert opinion for ssp. arctica, 1987-1991 best guess for ssp. viridigularis.  275,000 - 1,500,000 total individuals or 11,333-17,333 adults (WPE5). Adult estimate assumes 2/3 of total pop. are adults.",">590,000","590,000",,,,,,1,"18,924,618",BirdLife 2021,,2,"3,912,157",BirdLife 2021,"winters in coastal europe, Black and Caspian Seas, also West Pacific from Kanchatka to Taiwan, according to BirdLife",3,Waterbird Working Group 2017,,,,3,Waterbird Working Group 2017,,,,3,Waterbird Working Group 2017,,,,,,,,,,,,,,,,,,,10,11,11,,,,,Palearctic,Palearctic,Wetlands:  Lakes and Rivers,Wetlands:  Tundra,Coasts:  Marine Waters,
652,Black-footed Albatross,Phoebastria nigripes,waterbird,Procellariiformes,Diomedeidae,Monotypic.,1,1,1,0,M,,,4,BirdLife 2015,2006-2007 survey-based,"130,000","130,000",,,,,,4,,BirdLife 2017; Panjabi-17,"BirdLife lists range as 29 km2.  Also states: Phoebastria nigripes breeds on the Northwestern Hawaiian Islands (USA), the US Minor Outlying Islands and three outlying islands of Japan, colonies having been lost from other Pacific islands (Whittow 1993, Cousins 1998). In total there are estimated to be 64,500 pairs breeding each year (Flint 2007, Naughton et al. 2007) in at least 14 locations. The largest populations are c.24,000 and 21,000 pairs on Midway Atoll and Laysan Island respectively, which together account for 73% of the global population (Flint 2007, Naughton et al. 2007).",1,,NatureServe,"Natureserve data for W. Hemisphere supports score of 1, regardless of additional potential range in Old World",4,Hunter-Rosenberg 2003,,,,4,Waterbird Working Group 2017,TN is not correct; should be 4?,,,3,Kushlan et al. 2002,As modified by PIF criteria,,,,,,,,,,,,,,,,,,15,12,15,Yellow Watch List,NT,,,Temperate Northern Pacific,Temperate Northern Pacific,Islands:  Oceanic,,Oceans:  Pelagic,
654,Short-tailed Albatross,Phoebastria albatrus,waterbird,Procellariiformes,Diomedeidae,Monotypic.,1,1,1,0,M,,1,5,BirdLife 2015,2006-2007 survey-based,"1,600","1,600",,,,,,5,,BirdLife 2017; Panjabi-17,"BirdLife lists range of 9 km2, also states: Phoebastria albatrus breeds on Torishima (Japan), and Minami-kojima (Senkaku Islands), that are claimed jointly by Japan and China. Historically there are believed to have been at least nine colonies south of Japan and in the East China Sea (Piatt et al. 2006). Its marine range covers most of the northern Pacific Ocean, but it occurs in highest densities in areas of upwelling along shelf waters of the Pacific Rim, particularly along the coasts of Japan, eastern Russia, the Aleutians and Alaska (Piatt et al. 2006, Suryan et al. 2007). During breeding (December - May) it is found in highest densities around Japan. Satellite tracking has indicated that during the post-breeding period, females spend more time offshore of Japan and Russia, while males and juveniles spend greater time around the Aleutian Islands, Bering Sea and off the coast of North America (Suryan et al. 2007). Juveniles have been shown to travel twice the distances per day and spend more time within continental shelf habitat than adult birds (Suryan et al. 2008).",1,,NatureServe,"Natureserve data for W. Hemisphere supports score of 1, regardless of additional potential range in Old World",3,Hunter-Rosenberg 2003,,,,4,Hunter-Rosenberg 2003,,,,3,PIFSC-23,"Panjabi-23: unknown trend, given rarity in North American waters (breeds near Japan).",,,,,,,,,,,,,,,,,,16,13,16,Yellow Watch List; Tipping Point,VU,,,Temperate Northern Pacific,Temperate Northern Pacific,Islands:  Oceanic,,Oceans:  Pelagic,
655,Wilson's Storm-Petrel,Oceanites oceanicus,waterbird,Procellariiformes,Oceanitidae,,1,1,1,1,M,,1,2,BirdLife 2015,Adult estimate assumes 2/3 of total pop. are adults.,"14,000,000","14,000,000",,,,,,2,"28,500",BirdLife 2015,"BirdLife lists 28,500 km2 as breeding range, but presumably only includes nesting sites and immediate waters?",1,,NatureServe,"Natureserve data for W. Hemisphere supports score of 1, regardless of additional potential range in Old World",2,Hunter-Rosenberg 2003,,,,2,Hunter-Rosenberg 2003,Why are TNs generally lower for petrels than for shearwaters?,,,3,Kushlan et al. 2002,,,,,,,,,,,,,,,,,,,9,8,9,,,,,Southern Ocean,Widespread,Islands:  Oceanic,,Oceans:  Pelagic,
656,White-faced Storm-Petrel,Pelagodroma marina,waterbird,Procellariiformes,Oceanitidae,,0,1,0,1,M,,,3,BirdLife 2015,Adult estimate assumes 2/3 of total pop. are adults.,"2,700,000","2,700,000",,,,,,3,,Panjabi 2017,"This species breeds on remote islands in the south Atlantic, such as Tristan da Cunha (St Helena to U.K.) and also on the coast Australia and New Zealand. There are north Atlantic colonies on the Cape Verde Islands, Canary Islands, Spain and Savage Islands, Portugal. (BirdLife 2017)",1,,Panjabi 2017,"Outside the breeding season birds from the Atlantic have been seen off the east coast of North America and South America, and off the western coast of Central Africa. Breeds from Australia and New Zealand range as far as the northern Indian Ocean and the north-west coast of South America (BirdLife 2017).",4,Panjabi 2017,"In general this species is highly sensitive to human disturbance and locally subject to exploitation by fishermen. It is also affected by predators such as mice (Mus musculus), rats (Rattus spp.), cats (Felis catus), owls, Wekas (Gallirallus australis), skuas (Catharacta), large gulls (Larus spp.), snakes and land crabs (Ocypoda). Burrows are sometimes trampled by man or livestock in parts of Australia. In the Chatham Islands, c.200,000 birds were found dead in 1970, their legs tangled up in filaments of the larval trematode Distomum filiferum which was presumably picked up during foraging (Carboneras et al. 2016). Other threats include: habitat degradation and problems caused by rabbits, disturbance from other birds, attraction to light at night (Madro o et al. 2004).",,,3,Panjabi 2017,,,,4,BirdLife 2017,"The population is suspected to be in decline owing to predation by invasive species and unsustainable levels of exploitation. In Europe the population size is estimated to be decreasing by less than 25% in 46.2 years (three generations), owing to predation by invasive species and unsustainable levels of exploitation (BirdLife 2015).",,,,,,,,,,,,,,,,,,14,11,14,Yellow Watch List,,,,Temperate Northern Atlantic,Temperate Northern Atlantic,Islands:  Oceanic,,Oceans:  Pelagic,
