SpeciesCommonName,ScientificName,Type,RiskName,RiskIndex,,,,
Crested Owl,Lophostrix cristata,landbird,Mink,0.71,,,,
Spectacled Owl,Pulsatrix perspicillata,landbird,Ferrets,0.55,,,,
Great Horned Owl,Bubo virginianus,landbird,Snakes,0.86,,,,
Snowy Owl,Bubo scandiacus,landbird,Weasels,0.69,,,,
Northern Hawk Owl,Surnia ulula,landbird,Ferrets,0.43,,,,
Northern Pygmy-Owl,Glaucidium gnoma,landbird,Raccoons,0.39,,,,
Costa Rican Pygmy-Owl,Glaucidium costaricanum,landbird,Raccoons,0.37,,,,
Central American Pygmy-Owl,Glaucidium griseiceps,landbird,Eagles,0.86,,,,
Tamaulipas Pygmy-Owl,Glaucidium sanchezi,landbird,Ferrets,0.38,,,,
Colima Pygmy-Owl,Glaucidium palmarum,landbird,Cats,0.01,,,,
Ferruginous Pygmy-Owl,Glaucidium brasilianum,landbird,Raccoons,0.09,,,,
Elf Owl,Micrathene whitneyi,landbird,Weasels,0.47,,,,
Burrowing Owl,Athene cunicularia,landbird,Mink,0.48,,,,
Spotted Owl,Strix occidentalis,landbird,Raccoons,0.24,,,,
Barred Owl,Strix varia,landbird,Weasels,0.77,,,,
Cinereous Owl,Strix sartorii,landbird,Ferrets,0.43,,,,
Fulvous Owl,Strix fulvescens,landbird,Raccoons,0.09,,,,
Mottled Owl,Strix virgata,landbird,Mink,0.7,,,,
Black-and-white Owl,Strix nigrolineata,landbird,Snakes,0.87,,,,
Great Gray Owl,Strix nebulosa,landbird,Cats,0.86,,,,
Long-eared Owl,Asio otus,landbird,Cats,0.25,,,,
Stygian Owl,Asio stygius,landbird,Eagles,0.93,,,,
Short-eared Owl,Asio flammeus,landbird,Snakes,0.44,,,,
Striped Owl,Asio clamator,landbird,Eagles,0.2,,,,
Black-tailed Trogon,Trogon melanurus,landbird,Eagles,0.29,,,,
Black-headed Trogon,Trogon melanocephalus,landbird,Ferrets,0.44,,,,
Citreoline Trogon,Trogon citreolus,landbird,Weasels,0.45,,,,
White-tailed Trogon,Trogon chionurus,landbird,Eagles,0.48,,,,
Baird's Trogon,Trogon bairdii,landbird,Weasels,0.77,,,,
Gartered Trogon,Trogon caligatus,landbird,Raccoons,0.69,,,,
Black-throated Trogon,Trogon rufus,landbird,Eagles,0.22,,,,
Elegant Trogon,Trogon elegans,landbird,Stoats,0.12,,,,
Mountain Trogon,Trogon mexicanus,landbird,Ferrets,0.91,,,,
Collared Trogon,Trogon collaris,landbird,Weasels,0.85,,,,
Eared Quetzal,Euptilotis neoxenus,landbird,Mink,0.5,,,,
Golden-headed Quetzal,Pharomachrus auriceps,landbird,Snakes,0.54,,,,
Resplendent Quetzal,Pharomachrus mocinno,landbird,Weasels,0.04,,,,
Tody Motmot,Hylomanes momotula,landbird,Ferrets,0.24,,,,
Blue-throated Motmot,Aspatha gularis,landbird,Stoats,0.42,,,,
Russet-crowned Motmot,Momotus mexicanus,landbird,Ferrets,0.1,,,,
Amazon Kingfisher,Chloroceryle amazona,landbird,Weasels,0.22,,,,
American Pygmy Kingfisher,Chloroceryle aenea,landbird,Eagles,0.38,,,,
Green Kingfisher,Chloroceryle americana,landbird,Ferrets,0.73,,,,
Green-and-rufous Kingfisher,Chloroceryle inda,landbird,Snakes,0.58,,,,
Barred Puffbird,Nystalus radiatus,landbird,Eagles,0.4,,,,
White-necked Puffbird,Notharchus hyperrhynchus,landbird,Snakes,0.53,,,,
Black-breasted Puffbird,Notharchus pectoralis,landbird,Ferrets,0.18,,,,
Pied Puffbird,Notharchus tectus,landbird,Mink,0.02,,,,
White-whiskered Puffbird,Malacoptila panamensis,landbird,Weasels,0.88,,,,
Lanceolated Monklet,Micromonacha lanceolata,landbird,Eagles,0.32,,,,
Gray-cheeked Nunlet,Nonnula frontalis,landbird,Cats,0.37,,,,
White-fronted Nunbird,Monasa morphoeus,landbird,Eagles,0.49,,,,
Dusky-backed Jacamar,Brachygalba salmoni,landbird,Ferrets,0.13,,,,
Rufous-tailed Jacamar,Galbula ruficauda,landbird,Stoats,0.39,,,,
Great Jacamar,Jacamerops aureus,landbird,Ferrets,0.37,,,,
Spot-crowned Barbet,Capito maculicoronatus,landbird,Cats,0.38,,,,
Red-headed Barbet,Eubucco bourcierii,landbird,Mink,0,,,,
Prong-billed Barbet,Semnornis frantzii,landbird,Stoats,0.47,,,,
Northern Emerald-Toucanet,Aulacorhynchus prasinus,landbird,Weasels,0.84,,,,
Collared Aracari,Pteroglossus torquatus,landbird,Weasels,0.2,,,,
Fiery-billed Aracari,Pteroglossus frantzii,landbird,Weasels,0.57,,,,
Yellow-eared Toucanet,Selenidera spectabilis,landbird,Weasels,0.67,,,,
Keel-billed Toucan,Ramphastos sulfuratus,landbird,Weasels,0.93,,,,
Yellow-throated Toucan,Ramphastos ambiguus,landbird,Raccoons,0.54,,,,
Olivaceous Piculet,Picumnus olivaceus,landbird,Raccoons,0.39,,,,
Lewis's Woodpecker,Melanerpes lewis,landbird,Eagles,0.13,,,,
Red-headed Woodpecker,Melanerpes erythrocephalus,landbird,Snakes,0.95,,,,
Acorn Woodpecker,Melanerpes formicivorus,landbird,Cats,0.08,,,,
Golden-naped Woodpecker,Melanerpes chrysauchen,landbird,Stoats,0.28,,,,
Black-cheeked Woodpecker,Melanerpes pucherani,landbird,Cats,0.89,,,,
Golden-cheeked Woodpecker,Melanerpes chrysogenys,landbird,Raccoons,0.58,,,,
Gray-breasted Woodpecker,Melanerpes hypopolius,landbird,Eagles,0.74,,,,
Yucatan Woodpecker,Melanerpes pygmaeus,landbird,Ferrets,0.73,,,,
Red-crowned Woodpecker,Melanerpes rubricapillus,landbird,Eagles,0,,,,
Gila Woodpecker,Melanerpes uropygialis,landbird,Mink,0.79,,,,
Hoffmann's Woodpecker,Melanerpes hoffmannii,landbird,Snakes,0.95,,,,
Golden-fronted Woodpecker,Melanerpes aurifrons,landbird,Raccoons,0.06,,,,
Red-bellied Woodpecker,Melanerpes carolinus,landbird,Mink,0.75,,,,
Williamson's Sapsucker,Sphyrapicus thyroideus,landbird,Eagles,0.7,,,,
Yellow-bellied Sapsucker,Sphyrapicus varius,landbird,Stoats,0.49,,,,
Red-naped Sapsucker,Sphyrapicus nuchalis,landbird,Ferrets,0.46,,,,
Red-breasted Sapsucker,Sphyrapicus ruber,landbird,Stoats,0.6,,,,
American Three-toed Woodpecker,Picoides dorsalis,landbird,Raccoons,0.63,,,,
Black-backed Woodpecker,Picoides arcticus,landbird,Cats,0.89,,,,
Downy Woodpecker,Dryobates pubescens,landbird,Ferrets,0.49,,,,
Nuttall's Woodpecker,Dryobates nuttallii,landbird,Snakes,0.56,,,,
Ladder-backed Woodpecker,Dryobates scalaris,landbird,Mink,0.23,,,,
Red-cockaded Woodpecker,Dryobates borealis,landbird,Ferrets,0.5,,,,
Hairy Woodpecker,Dryobates villosus,landbird,Eagles,0.93,,,,
White-headed Woodpecker,Dryobates albolarvatus,landbird,Stoats,0.7,,,,
Smoky-brown Woodpecker,Dryobates fumigatus,landbird,Raccoons,0.07,,,,
Arizona Woodpecker,Dryobates arizonae,landbird,Mink,0.63,,,,
Gyrfalcon,Falco rusticolus,landbird,Eagles,0.36,,,,
Peregrine Falcon,Falco peregrinus,landbird,Eagles,0.6,,,,
Prairie Falcon,Falco mexicanus,landbird,Cats,0.71,,,,
Painted Parakeet,Pyrrhura picta,landbird,Raccoons,0.73,,,,
Sulphur-winged Parakeet,Pyrrhura hoffmanni,landbird,Weasels,0.51,,,,
Monk Parakeet,Myiopsitta monachus,landbird,Raccoons,0.04,,,,
Olive-throated Parakeet,Eupsittula nana,landbird,Cats,0.9,,,,
Orange-fronted Parakeet,Eupsittula canicularis,landbird,Weasels,0.72,,,,
Brown-throated Parakeet,Eupsittula pertinax,landbird,Snakes,0.9,,,,
Blue-and-yellow Macaw,Ara ararauna,landbird,Ferrets,0.29,,,,
Chestnut-fronted Macaw,Ara severus,landbird,Ferrets,0.54,,,,
Scarlet Macaw,Ara macao,landbird,Eagles,0.47,,,,
Red-and-green Macaw,Ara chloropterus,landbird,Cats,0.45,,,,
Military Macaw,Ara militaris,landbird,Mink,0.97,,,,
Great Green Macaw,Ara ambiguus,landbird,Raccoons,0.64,,,,
Green Parakeet,Psittacara holochlorus,landbird,Stoats,0.36,,,,
Socorro Parakeet,Psittacara brevipes,landbird,Snakes,0.82,,,,
Pacific Parakeet,Psittacara strenuus,landbird,Snakes,0.15,,,,
Crimson-fronted Parakeet,Psittacara finschi,landbird,Raccoons,0.91,,,,
Thick-billed Parrot,Rhynchopsitta pachyrhyncha,landbird,Mink,0.94,,,,
Maroon-fronted Parrot,Rhynchopsitta terrisi,landbird,Snakes,0.43,,,,
Barred Parakeet,Bolborhynchus lineola,landbird,Cats,0.94,,,,
Mexican Parrotlet,Forpus cyanopygius,landbird,Raccoons,0.07,,,,
Spectacled Parrotlet,Forpus conspicillatus,landbird,Weasels,0.28,,,,
Orange-chinned Parakeet,Brotogeris jugularis,landbird,Raccoons,0.11,,,,
Red-fronted Parrotlet,Touit costaricensis,landbird,Ferrets,0.73,,,,
Blue-fronted Parrotlet,Touit dilectissimus,landbird,Eagles,0.76,,,,
Brown-hooded Parrot,Pyrilia haematotis,landbird,Snakes,0.75,,,,
Saffron-headed Parrot,Pyrilia pyrilia,landbird,Eagles,0.09,,,,
Blue-headed Parrot,Pionus menstruus,landbird,Eagles,0.09,,,,
White-crowned Parrot,Pionus senilis,landbird,Eagles,0.4,,,,
White-fronted Parrot,Amazona albifrons,landbird,Snakes,0.52,,,,
Yellow-lored Parrot,Amazona xantholora,landbird,Stoats,0.46,,,,
Red-crowned Parrot,Amazona viridigenalis,landbird,Mink,0.22,,,,
Lilac-crowned Parrot,Amazona finschi,landbird,Snakes,0.82,,,,
Red-lored Parrot,Amazona autumnalis,landbird,Stoats,0.62,,,,
Mealy Parrot,Amazona farinosa,landbird,Weasels,0.16,,,,
Yellow-headed Parrot,Amazona oratrix,landbird,Stoats,0.63,,,,
Yellow-naped Parrot,Amazona auropalliata,landbird,Eagles,0.72,,,,
Yellow-crowned Parrot,Amazona ochrocephala,landbird,Cats,0.8,,,,
Sapayoa,Sapayoa aenigma,landbird,Ferrets,0.14,,,,
Lance-tailed Manakin,Chiroxiphia lanceolata,landbird,Weasels,0.56,,,,
Long-tailed Manakin,Chiroxiphia linearis,landbird,Stoats,0.76,,,,
White-ruffed Manakin,Corapipo altera,landbird,Mink,0.63,,,,
Green Manakin,Cryptopipo holochlora,landbird,Mink,0.88,,,,
Blue-crowned Manakin,Lepidothrix coronata,landbird,Weasels,0.87,,,,
White-collared Manakin,Manacus candei,landbird,Eagles,0.69,,,,
Orange-collared Manakin,Manacus aurantiacus,landbird,Eagles,0.69,,,,
Golden-collared Manakin,Manacus vitellinus,landbird,Snakes,0.1,,,,
White-crowned Manakin,Pseudopipra pipra,landbird,Mink,0.7,,,,
Red-capped Manakin,Ceratopipra mentalis,landbird,Mink,0.73,,,,
Golden-headed Manakin,Ceratopipra erythrocephala,landbird,Snakes,0.82,,,,
Purple-throated Fruitcrow,Querula purpurata,landbird,Snakes,0,,,,
One-colored Becard,Pachyramphus homochrous,landbird,Eagles,0.55,,,,
Sharpbill,Oxyruncus cristatus,landbird,Ferrets,0.97,,,,
Royal Flycatcher,Onychorhynchus coronatus,landbird,Snakes,0.86,,,,
Ruddy-tailed Flycatcher,Terenotriccus erythrurus,landbird,Cats,0.05,,,,
Tawny-breasted Flycatcher,Myiobius villosus,landbird,Raccoons,0.01,,,,
Sulphur-rumped Flycatcher,Myiobius sulphureipygius,landbird,Stoats,0.88,,,,
Black-tailed Flycatcher,Myiobius atricaudus,landbird,Cats,0.99,,,,
Gray-headed Piprites,Piprites griseiceps,landbird,Ferrets,0.86,,,,
Stub-tailed Spadebill,Platyrinchus cancrominus,landbird,Cats,0.87,,,,
White-throated Spadebill,Platyrinchus mystaceus,landbird,Ferrets,0.3,,,,
Golden-crowned Spadebill,Platyrinchus coronatus,landbird,Eagles,0.87,,,,
Olive-striped Flycatcher,Mionectes olivaceus,landbird,Eagles,0.35,,,,
Social Flycatcher,Myiozetetes similis,landbird,Snakes,0.78,,,,
Gray-capped Flycatcher,Myiozetetes granadensis,landbird,Snakes,0.8,,,,
White-ringed Flycatcher,Conopias albovittatus,landbird,Snakes,0.14,,,,
Golden-bellied Flycatcher,Myiodynastes hemichrysus,landbird,Mink,0.88,,,,
Golden-crowned Flycatcher,Myiodynastes chrysocephalus,landbird,Ferrets,0.06,,,,
Streaked Flycatcher,Myiodynastes maculatus,landbird,Raccoons,0.5,,,,
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,landbird,Ferrets,0.4,,,,
Piratic Flycatcher,Legatus leucophaius,landbird,Eagles,0.42,,,,
Tropical Kingbird,Tyrannus melancholicus,landbird,Stoats,0.56,,,,
Couch's Kingbird,Tyrannus couchii,landbird,Raccoons,0.65,,,,
Cassin's Kingbird,Tyrannus vociferans,landbird,Raccoons,0.74,,,,
Thick-billed Kingbird,Tyrannus crassirostris,landbird,Weasels,0.13,,,,
Western Kingbird,Tyrannus verticalis,landbird,Raccoons,0.24,,,,
Eastern Kingbird,Tyrannus tyrannus,landbird,Ferrets,0.26,,,,
Gray Kingbird,Tyrannus dominicensis,landbird,Weasels,0.18,,,,
Scissor-tailed Flycatcher,Tyrannus forficatus,landbird,Ferrets,0.63,,,,
Fork-tailed Flycatcher,Tyrannus savana,landbird,Eagles,0.55,,,,
Bran-colored Flycatcher,Myiophobus fasciatus,landbird,Weasels,0.16,,,,
Tawny-chested Flycatcher,Aphanotriccus capitalis,landbird,Cats,0.37,,,,
Black-billed Flycatcher,Aphanotriccus audax,landbird,Raccoons,0.71,,,,
Steller's Eider,Polysticta stelleri,waterfowl,Foxes,0.22,,,,
Spectacled Eider,Somateria fischeri,waterfowl,Coyotes,0.73,,,,
King Eider,Somateria spectabilis,waterfowl,Opossums,0.71,,,,
Common Eider,Somateria mollissima,waterfowl,Coyotes,0.81,,,,
Hooded Merganser,Lophodytes cucullatus,waterfowl,Coyotes,0.48,,,,
Common Merganser,Mergus merganser,waterfowl,Coyotes,0.95,,,,
Red-breasted Merganser,Mergus serrator,waterfowl,Snakes,0.4,,,,
Masked Duck,Nomonyx dominicus,waterfowl,Coyotes,0.37,,,,
Ruddy Duck,Oxyura jamaicensis,waterfowl,Snakes,0.02,,,,
Plain Chachalaca,Ortalis vetula,landbird,Weasels,0.93,,,,
Gray-headed Chachalaca,Ortalis cinereiceps,landbird,Cats,0.27,,,,
Rufous-bellied Chachalaca,Ortalis wagleri,landbird,Cats,0.46,,,,
West Mexican Chachalaca,Ortalis poliocephala,landbird,Weasels,0.96,,,,
Ocellated Quail,Cyrtonyx ocellatus,landbird,Raccoons,0.03,,,,
Singing Quail,Dactylortyx thoracicus,landbird,Mink,0.78,,,,
Marbled Wood-Quail,Odontophorus gujanensis,landbird,Stoats,0.39,,,,
Black-eared Wood-Quail,Odontophorus melanotis,landbird,Weasels,0.72,,,,
Tacarcuna Wood-Quail,Odontophorus dialeucos,landbird,Raccoons,0.56,,,,
Red-necked Grebe,Podiceps grisegena,waterbird,Foxes,0.19,,,,
Eared Grebe,Podiceps nigricollis,waterbird,Foxes,0.69,,,,
Western Grebe,Aechmophorus occidentalis,waterbird,Snakes,0.63,,,,
Clark's Grebe,Aechmophorus clarkii,waterbird,Foxes,0.05,,,,
Rock Pigeon,Columba livia,landbird,Eagles,0.01,,,,
Pale-vented Pigeon,Patagioenas cayennensis,landbird,Snakes,0.47,,,,
Scaled Pigeon,Patagioenas speciosa,landbird,Cats,0.15,,,,
White-crowned Pigeon,Patagioenas leucocephala,landbird,Weasels,0.61,,,,
Red-billed Pigeon,Patagioenas flavirostris,landbird,Cats,0.1,,,,
Caribbean Dove,Leptotila jamaicensis,landbird,Cats,0.13,,,,
Gray-chested Dove,Leptotila cassinii,landbird,Stoats,1,,,,
Gray-headed Dove,Leptotila plumbeiceps,landbird,Weasels,0.22,,,,
Tuxtla Quail-Dove,Zentrygon carrikeri,landbird,Ferrets,0.59,,,,
Buff-fronted Quail-Dove,Zentrygon costaricensis,landbird,Stoats,0.92,,,,
Purplish-backed Quail-Dove,Zentrygon lawrencii,landbird,Cats,0.89,,,,
White-faced Quail-Dove,Zentrygon albifacies,landbird,Stoats,0.81,,,,
Chiriqui Quail-Dove,Zentrygon chiriquensis,landbird,Mink,0.99,,,,
Russet-crowned Quail-Dove,Zentrygon goldmani,landbird,Cats,0.85,,,,
White-winged Dove,Zenaida asiatica,landbird,Eagles,0.38,,,,
Belted Flycatcher,Xenotriccus callizonus,landbird,Snakes,0.49,,,,
Pileated Flycatcher,Xenotriccus mexicanus,landbird,Mink,0.83,,,,
Tufted Flycatcher,Mitrephanes phaeocercus,landbird,Mink,0.66,,,,
Olive-sided Flycatcher,Contopus cooperi,landbird,Snakes,0.97,,,,
Greater Pewee,Contopus pertinax,landbird,Stoats,0.02,,,,
Yellow-bellied Flycatcher,Empidonax flaviventris,landbird,Eagles,0.55,,,,
Acadian Flycatcher,Empidonax virescens,landbird,Weasels,0.19,,,,
Alder Flycatcher,Empidonax alnorum,landbird,Cats,0.43,,,,
Willow Flycatcher,Empidonax traillii,landbird,Snakes,0.6,,,,
White-throated Flycatcher,Empidonax albigularis,landbird,Weasels,0.04,,,,
Least Flycatcher,Empidonax minimus,landbird,Raccoons,0.48,,,,
Hammond's Flycatcher,Empidonax hammondii,landbird,Weasels,0.36,,,,
Gray Flycatcher,Empidonax wrightii,landbird,Raccoons,0.59,,,,
Dusky Flycatcher,Empidonax oberholseri,landbird,Weasels,0.79,,,,
Pine Flycatcher,Empidonax affinis,landbird,Stoats,0.93,,,,
Pacific-slope Flycatcher,Empidonax difficilis,landbird,Cats,0.32,,,,
Cordilleran Flycatcher,Empidonax occidentalis,landbird,Cats,0.19,,,,
Yellowish Flycatcher,Empidonax flavescens,landbird,Raccoons,0.36,,,,
Buff-breasted Flycatcher,Empidonax fulvifrons,landbird,Stoats,0.39,,,,
Black-capped Flycatcher,Empidonax atriceps,landbird,Weasels,0.21,,,,
Black Phoebe,Sayornis nigricans,landbird,Stoats,0.63,,,,
Eastern Phoebe,Sayornis phoebe,landbird,Ferrets,0.91,,,,
Say's Phoebe,Sayornis saya,landbird,Cats,0.54,,,,
Vermilion Flycatcher,Pyrocephalus rubinus,landbird,Snakes,0.47,,,,
Pied Water-Tyrant,Fluvicola pica,landbird,Cats,0.46,,,,
Northern Scrub-Flycatcher,Sublegatus arenarum,landbird,Cats,0.03,,,,
Long-tailed Tyrant,Colonia colonus,landbird,Snakes,0.52,,,,
Black-crowned Antpitta,Pittasoma michleri,landbird,Cats,0.28,,,,
Fasciated Antshrike,Cymbilaimus lineatus,landbird,Stoats,0.38,,,,
Great Antshrike,Taraba major,landbird,Snakes,0.54,,,,
Barred Antshrike,Thamnophilus doliatus,landbird,Raccoons,0.13,,,,
Black Antshrike,Thamnophilus nigriceps,landbird,Ferrets,0.69,,,,
Black-hooded Antshrike,Thamnophilus bridgesi,landbird,Raccoons,0.33,,,,
Black-crowned Antshrike,Thamnophilus atrinucha,landbird,Eagles,0.89,,,,
Spiny-faced Antshrike,Xenornis setifrons,landbird,Mink,0.06,,,,
Russet Antshrike,Thamnistes anabatinus,landbird,Cats,0.36,,,,
Plain Antvireo,Dysithamnus mentalis,landbird,Snakes,0.91,,,,
Streak-crowned Antvireo,Dysithamnus striaticeps,landbird,Raccoons,0.27,,,,
Spot-crowned Antvireo,Dysithamnus puncticeps,landbird,Cats,0.45,,,,
Moustached Antwren,Myrmotherula ignota,landbird,Mink,0.82,,,,
Pacific Antwren,Myrmotherula pacifica,landbird,Stoats,0.45,,,,
White-flanked Antwren,Myrmotherula axillaris,landbird,Snakes,0.67,,,,
Slaty Antwren,Myrmotherula schisticolor,landbird,Cats,0.57,,,,
Checker-throated Stipplethroat,Epinecrophylla fulviventris,landbird,Stoats,0.72,,,,
Rusty-winged Antwren,Herpsilochmus frater,landbird,Cats,0.04,,,,
Dot-winged Antwren,Microrhopias quixensis,landbird,Raccoons,0.01,,,,
White-fringed Antwren,Formicivora grisea,landbird,Stoats,0.78,,,,
Rufous-rumped Antwren,Euchrepomis callinota,landbird,Cats,0.74,,,,
Dusky Antbird,Cercomacroides tyrannina,landbird,Weasels,0.06,,,,
Jet Antbird,Cercomacra nigricans,landbird,Ferrets,0.77,,,,
Bare-crowned Antbird,Gymnocichla nudiceps,landbird,Stoats,0.06,,,,
Zeledon's Antbird,Hafferia zeledoni,landbird,Cats,0.61,,,,
White-bellied Antbird,Myrmeciza longipes,landbird,Cats,0.11,,,,
Chestnut-backed Antbird,Poliocrania exsul,landbird,Weasels,0.91,,,,
Dull-mantled Antbird,Sipia laemosticta,landbird,Ferrets,0.17,,,,
Spotted Antbird,Hylophylax naevioides,landbird,Ferrets,0.64,,,,
Wing-banded Antbird,Myrmornis torquata,landbird,Raccoons,0.03,,,,
Zenaida Dove,Zenaida aurita,landbird,Cats,0.13,,,,
Mourning Dove,Zenaida macroura,landbird,Eagles,0.08,,,,
Socorro Dove,Zenaida graysoni,landbird,Snakes,0.7,,,,
Greater Ani,Crotophaga major,landbird,Snakes,0.81,,,,
Smooth-billed Ani,Crotophaga ani,landbird,Ferrets,0.77,,,,
Yucatan Nightjar,Antrostomus badius,landbird,Ferrets,0.76,,,,
Buff-collared Nightjar,Antrostomus ridgwayi,landbird,Weasels,0.64,,,,
Eastern Whip-poor-will,Antrostomus vociferus,landbird,Stoats,0.89,,,,
Dusky Nightjar,Antrostomus saturatus,landbird,Weasels,0.69,,,,
Mexican Whip-poor-will,Antrostomus arizonae,landbird,Mink,0.92,,,,
White-tailed Nightjar,Hydropsalis cayennensis,landbird,Raccoons,0.77,,,,
Spot-tailed Nightjar,Hydropsalis maculicaudus,landbird,Eagles,0.69,,,,
Oilbird,Steatornis caripensis,landbird,Eagles,0.29,,,,
Great Potoo,Nyctibius grandis,landbird,Eagles,1,,,,
Common Potoo,Nyctibius griseus,landbird,Ferrets,0.39,,,,
Northern Potoo,Nyctibius jamaicensis,landbird,Ferrets,0.15,,,,
White-collared Swift,Streptoprocne zonaris,landbird,Mink,0.97,,,,
White-naped Swift,Streptoprocne semicollaris,landbird,Raccoons,0.55,,,,
Gray-rumped Swift,Chaetura cinereiventris,landbird,Eagles,0.86,,,,
Band-rumped Swift,Chaetura spinicaudus,landbird,Raccoons,0.04,,,,
Costa Rican Swift,Chaetura fumosa,landbird,Ferrets,0.83,,,,
Chimney Swift,Chaetura pelagica,landbird,Raccoons,0.26,,,,
Vaux's Swift,Chaetura vauxi,landbird,Ferrets,0.43,,,,
Chapman's Swift,Chaetura chapmani,landbird,Eagles,0.29,,,,
Short-tailed Swift,Chaetura brachyura,landbird,Snakes,1,,,,
White-throated Swift,Aeronautes saxatalis,landbird,Cats,0.12,,,,
Lesser Swallow-tailed Swift,Panyptila cayennensis,landbird,Snakes,0.87,,,,
Great Swallow-tailed Swift,Panyptila sanctihieronymi,landbird,Cats,0.72,,,,
White-necked Jacobin,Florisuga mellivora,landbird,Cats,0.05,,,,
White-tipped Sicklebill,Eutoxeres aquila,landbird,Raccoons,0.74,,,,
Bronzy Hermit,Glaucis aeneus,landbird,Raccoons,0,,,,
Rufous-breasted Hermit,Glaucis hirsutus,landbird,Raccoons,0.58,,,,
Band-tailed Barbthroat,Threnetes ruckeri,landbird,Weasels,0.75,,,,
Green Hermit,Phaethornis guy,landbird,Ferrets,0.58,,,,
Mexican Hermit,Phaethornis mexicanus,landbird,Weasels,0.34,,,,
Long-billed Hermit,Phaethornis longirostris,landbird,Stoats,0.21,,,,
Black-crested Coquette,Lophornis helenae,landbird,Eagles,0.95,,,,
White-crested Coquette,Lophornis adorabilis,landbird,Weasels,0.65,,,,
Greenish Puffleg,Haplophaedia aureliae,landbird,Raccoons,0.59,,,,
Green-crowned Brilliant,Heliodoxa jacula,landbird,Cats,0.71,,,,
Rivoli's Hummingbird,Eugenes fulgens,landbird,Ferrets,0.23,,,,
Bicolored Antbird,Gymnopithys bicolor,landbird,Weasels,0.24,,,,
Ocellated Antbird,Phaenostictus mcleannani,landbird,Mink,0.38,,,,
Scaled Antpitta,Grallaria guatimalensis,landbird,Raccoons,0.9,,,,
Streak-chested Antpitta,Hylopezus perspicillatus,landbird,Weasels,0.55,,,,
Thicket Antpitta,Hylopezus dives,landbird,Ferrets,0.9,,,,
Ochre-breasted Antpitta,Grallaricula flavirostris,landbird,Ferrets,0.78,,,,
Tacarcuna Tapaculo,Scytalopus panamensis,landbird,Cats,0.11,,,,
Silvery-fronted Tapaculo,Scytalopus argentifrons,landbird,Weasels,0.2,,,,
Mayan Antthrush,Formicarius moniliger,landbird,Raccoons,0.96,,,,
Black-faced Antthrush,Formicarius analis,landbird,Cats,0.38,,,,
Olivaceous Woodcreeper,Sittasomus griseicapillus,landbird,Stoats,0.8,,,,
Long-tailed Woodcreeper,Deconychura longicauda,landbird,Mink,0.39,,,,
Ruddy Woodcreeper,Dendrocincla homochroa,landbird,Eagles,0.15,,,,
Tawny-winged Woodcreeper,Dendrocincla anabatina,landbird,Mink,0.88,,,,
Plain-brown Woodcreeper,Dendrocincla fuliginosa,landbird,Mink,0.16,,,,
Wedge-billed Woodcreeper,Glyphorynchus spirurus,landbird,Weasels,0.24,,,,
Buffy Tuftedcheek,Pseudocolaptes lawrencii,landbird,Weasels,0.69,,,,
Sharp-tailed Streamcreeper,Lochmias nematura,landbird,Cats,0.6,,,,
Slaty-winged Foliage-gleaner,Philydor fuscipenne,landbird,Raccoons,0.33,,,,
Buff-fronted Foliage-gleaner,Dendroma rufa,landbird,Ferrets,0.74,,,,
Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,landbird,Stoats,0.4,,,,
Lineated Foliage-gleaner,Syndactyla subalaris,landbird,Ferrets,0.16,,,,
Ruddy Foliage-gleaner,Clibanornis rubiginosus,landbird,Raccoons,0.63,,,,
Streak-breasted Treehunter,Thripadectes rufobrunneus,landbird,Eagles,0.46,,,,
Buff-throated Foliage-gleaner,Automolus ochrolaemus,landbird,Cats,0.19,,,,
Chiriqui Foliage-gleaner,Automolus exsertus,landbird,Eagles,0.72,,,,
Striped Woodhaunter,Automolus subulatus,landbird,Eagles,0.96,,,,
Spotted Barbtail,Premnoplex brunnescens,landbird,Eagles,0.73,,,,
Beautiful Treerunner,Margarornis bellulus,landbird,Snakes,0.38,,,,
Ruddy Treerunner,Margarornis rubiginosus,landbird,Raccoons,0.27,,,,
Double-banded Graytail,Xenerpestes minlosi,landbird,Eagles,0.86,,,,
Red-faced Spinetail,Cranioleuca erythrops,landbird,Eagles,0.68,,,,
Coiba Spinetail,Cranioleuca dissita,landbird,Snakes,0.77,,,,
Pale-breasted Spinetail,Synallaxis albescens,landbird,Eagles,0.44,,,,
Slaty Spinetail,Synallaxis brachyura,landbird,Eagles,0.91,,,,
Rufous-breasted Spinetail,Synallaxis erythrothorax,landbird,Ferrets,0.45,,,,
Rufous-browed Peppershrike,Cyclarhis gujanensis,landbird,Stoats,0.33,,,,
Scrub Greenlet,Hylophilus flavipes,landbird,Ferrets,0.59,,,,
Chestnut-sided Shrike-Vireo,Vireolanius melitophrys,landbird,Stoats,0.65,,,,
Green Shrike-Vireo,Vireolanius pulchellus,landbird,Weasels,0.77,,,,
Yellow-browed Shrike-Vireo,Vireolanius eximius,landbird,Eagles,0.55,,,,
Tawny-crowned Greenlet,Tunchiornis ochraceiceps,landbird,Snakes,0.24,,,,
Lesser Greenlet,Pachysylvia decurtata,landbird,Weasels,0.89,,,,
Golden-fronted Greenlet,Pachysylvia aurantiifrons,landbird,Snakes,0.84,,,,
